iter	Passed	Remaining
0	430	42636
1	879	43094
2	1782	57621
3	2318	55636
4	2701	51322
5	3033	47519
6	3372	44812
7	3716	42738
8	4035	40805
9	4347	39129
10	4716	38159
11	5030	36889
12	5351	35812
13	5704	35042
14	6112	34638
15	6434	33782
16	6769	33050
17	7106	32374
18	7337	31279
19	7658	30635
20	8057	30312
21	8386	29735
22	8710	29160
23	9030	28595
24	9346	28038
25	9664	27506
26	9996	27028
27	10345	26601
28	10714	26231
29	11038	25756
30	11364	25295
31	11695	24852
32	12009	24382
33	12394	24060
34	12708	23601
35	13036	23175
36	13375	22775
37	13720	22386
38	14014	21920
39	14359	21539
40	14688	21137
41	15022	20745
42	15305	20289
43	15651	19920
44	16005	19562
45	16348	19192
