iter	Passed	Remaining
0	336	33307
1	662	32451
2	1412	45670
3	1841	44192
4	2220	42194
5	2618	41026
6	3196	42463
7	3600	41405
8	3870	39134
9	4189	37701
10	4556	36868
11	4862	35661
12	5238	35056
13	5598	34392
14	5937	33645
15	6246	32793
16	6606	32253
17	7008	31927
18	7429	31672
19	7771	31086
20	8102	30479
21	8597	30482
22	9053	30310
23	9534	30191
24	9873	29621
25	10261	29204
26	10636	28757
27	10992	28266
28	11325	27728
29	11656	27198
30	12045	26809
31	12356	26257
32	12887	26165
33	13398	26009
34	13730	25500
35	14226	25291
36	14570	24808
37	14899	24309
38	15302	23934
39	15610	23415
40	15949	22951
41	16290	22496
42	16644	22063
43	17031	21676
44	17350	21206
45	17724	20806
46	18043	20346
