iter	Logloss
0	0.3263957977
1	0.2893039124
2	0.2818775519
3	0.2780388137
4	0.2773220559
5	0.2762418532
6	0.2757009367
7	0.2754336423
8	0.2751691364
9	0.2749745215
10	0.2745975081
11	0.2744391046
12	0.2743225967
13	0.2741428393
14	0.2736207759
15	0.2734507612
16	0.2733479539
17	0.2732800801
18	0.2732264387
19	0.2731135688
20	0.2729707578
21	0.2728458556
22	0.2727434877
23	0.2726667409
24	0.2725745947
25	0.2724692329
26	0.2723016415
27	0.2721805689
28	0.2721241401
29	0.2720141502
30	0.2719139953
31	0.2717696221
32	0.271677682
33	0.2715549721
34	0.2714902223
35	0.2713721612
36	0.2712575253
37	0.271169734
38	0.2710612219
39	0.2710407084
40	0.2709537946
41	0.2708557927
42	0.2707904747
43	0.2707375837
44	0.2706542004
45	0.2705839515
46	0.2705219588
