iter	Passed	Remaining
0	380	37663
1	719	35244
2	1127	36458
3	1498	35958
4	1890	35925
5	2466	38639
6	2866	38088
7	3244	37309
8	3603	36434
9	3987	35889
10	4304	34830
11	4645	34064
12	5087	34044
13	5409	33230
14	5722	32425
15	6064	31839
16	6297	30746
17	6607	30101
18	6953	29645
19	7262	29051
20	7576	28503
21	7910	28045
22	8219	27517
23	8534	27025
24	8853	26560
25	9148	26038
26	9436	25514
27	9751	25075
28	10099	24725
29	10425	24326
30	10741	23908
31	11003	23383
32	11348	23041
33	11672	22659
34	11980	22248
35	12332	21924
36	12648	21536
37	13502	22029
38	14196	22205
39	14702	22053
40	15092	21718
41	15548	21471
42	15956	21151
43	16329	20782
44	16658	20360
45	16998	19954
