iter	Logloss
0	0.3256121882
1	0.2869516196
2	0.2807052205
3	0.278021128
4	0.2770590794
5	0.2757190506
6	0.2749442995
7	0.274602942
8	0.2743532613
9	0.2742041129
10	0.2740221939
11	0.2738388418
12	0.2735581568
13	0.2733714139
14	0.2732252448
15	0.2731573576
16	0.273093712
17	0.27299788
18	0.2729181526
19	0.2727800664
20	0.2726936018
21	0.2726022924
22	0.2725097088
23	0.2724012042
24	0.2723080594
25	0.272206411
26	0.2721438359
27	0.2720328375
28	0.2719277327
29	0.2718541262
30	0.271749466
31	0.2717493424
32	0.2716309443
33	0.2715536309
34	0.2714557283
35	0.2713077824
36	0.2712234077
37	0.2711172118
38	0.2710442106
39	0.2709625187
40	0.2708622677
41	0.2707738421
42	0.2707091767
43	0.2706250508
44	0.2705480341
45	0.2704473773
