iter	Logloss
0	0.3257543239
1	0.2889866376
2	0.2813855483
3	0.2780969794
4	0.276532778
5	0.2756198195
6	0.2752413694
7	0.2749588416
8	0.2745750816
9	0.2744410514
10	0.2742258917
11	0.2739747741
12	0.273856496
13	0.2737719708
14	0.2733433155
15	0.2731816065
16	0.2730468731
17	0.2729504495
18	0.2728595363
19	0.2726598316
20	0.2725068007
21	0.2724112718
22	0.2722445239
23	0.2721499186
24	0.2719391679
25	0.2718624781
26	0.2718290626
27	0.2717320802
28	0.271632894
29	0.2714901188
30	0.2713951232
31	0.2712792507
32	0.2711649035
33	0.2710656226
34	0.2709718664
35	0.27086986
36	0.2707716112
37	0.2706696762
38	0.2706004229
39	0.2705185297
40	0.2704557182
41	0.2703713669
42	0.2703385979
43	0.270279762
44	0.2701937947
45	0.2701228276
