iter	Logloss
0	0.3050912997
1	0.2775595927
2	0.272451138
3	0.2695282385
4	0.2687998149
5	0.2677794035
6	0.267175503
7	0.2667402544
8	0.2664909261
9	0.2663290924
10	0.2661341822
11	0.265832339
12	0.2657796947
13	0.2655552421
14	0.2653592131
15	0.2652548883
16	0.2651657253
17	0.2649627186
18	0.2647795208
19	0.2647277177
20	0.264578141
21	0.2644847552
22	0.2643973396
23	0.2643278249
24	0.264198742
25	0.2641134671
26	0.2640209192
27	0.2638897376
28	0.2637115134
29	0.2635788702
30	0.2634269107
31	0.2633704553
32	0.2633068206
33	0.2631886719
34	0.2630951247
35	0.2629452203
36	0.2628255449
37	0.2627143067
38	0.262607871
39	0.2625283457
40	0.2624381459
41	0.2623329415
42	0.2622663442
43	0.2621667591
44	0.2621151007
45	0.2620578028
46	0.2619259283
47	0.2618076983
48	0.2616882727
49	0.2615994912
50	0.2615133451
51	0.2614466801
52	0.2613621555
53	0.261300161
54	0.2612391089
55	0.2611629617
56	0.2611058817
57	0.2610269315
58	0.2609441323
59	0.2608480543
60	0.2607870244
61	0.2607313664
62	0.260667422
63	0.2605954861
64	0.2605114634
65	0.2604550169
66	0.2603657766
67	0.2602931036
68	0.2602186781
69	0.2601385502
70	0.2600630036
71	0.2599826284
72	0.2599134412
73	0.2598515239
74	0.2597768395
75	0.2597256247
76	0.2596576481
77	0.2595792798
78	0.2595205915
79	0.2594145375
80	0.2593477118
81	0.2593110202
82	0.2592782981
83	0.2591876902
84	0.2591288964
85	0.2590583654
86	0.2589709574
87	0.2588758323
88	0.2588115056
89	0.258744576
90	0.2586605094
91	0.2586177396
92	0.2585569471
93	0.2584866433
94	0.2584094147
95	0.2583310475
96	0.2582622325
97	0.2582016621
98	0.2581193481
99	0.2580312795
