iter	Passed	Remaining
0	206	20437
1	404	19811
2	630	20372
3	915	21968
4	1156	21966
5	1371	21491
6	1574	20924
7	1770	20361
8	1972	19939
9	2162	19463
10	2368	19162
11	2575	18889
12	2725	18236
13	2920	17940
14	3120	17684
15	3314	17400
16	3501	17094
17	3696	16839
18	3899	16623
19	4132	16528
20	4325	16270
21	4511	15996
22	4704	15751
23	4902	15524
24	5118	15355
25	5321	15145
26	5512	14902
27	5673	14590
28	5863	14355
29	6079	14185
30	6370	14179
31	6553	13926
32	6762	13729
33	6954	13500
34	7150	13278
35	7371	13104
36	7734	13169
37	7936	12948
38	8137	12727
39	8343	12514
40	8581	12349
41	8779	12123
42	8989	11916
43	9205	11715
44	9423	11517
45	9657	11336
46	9857	11116
47	10075	10914
48	10278	10698
49	10470	10470
50	10696	10277
51	10896	10058
52	11095	9839
53	11288	9616
54	11492	9403
55	11688	9183
56	11881	8963
57	12085	8751
58	12273	8529
59	12482	8321
60	12700	8119
61	12890	7900
62	13183	7742
63	13386	7529
64	13709	7382
65	14062	7244
66	14329	7057
67	14542	6843
68	14818	6657
69	15220	6523
70	15474	6320
71	15681	6098
72	15898	5880
73	16091	5653
74	16307	5435
75	16518	5216
76	16727	4996
77	16956	4782
78	17151	4559
79	17359	4339
80	17575	4122
81	17795	3906
82	18009	3688
83	18213	3469
84	18413	3249
85	18628	3032
86	18827	2813
87	19042	2596
88	19260	2380
89	19450	2161
90	19661	1944
91	19859	1726
92	20061	1510
93	20280	1294
94	20486	1078
95	20691	862
96	20890	646
97	21096	430
98	21325	215
99	21538	0
