iter	Logloss
0	0.3266567531
1	0.2884755861
2	0.281514292
3	0.2783544964
4	0.2768456778
5	0.2759500244
6	0.2755963589
7	0.2752852381
8	0.2750656093
9	0.2744260548
10	0.2742661771
11	0.2741404649
12	0.2739896215
13	0.2737859609
14	0.2735993702
15	0.2735532077
16	0.2733810114
17	0.2733043113
18	0.2731792124
19	0.2730612913
20	0.2729413325
21	0.2728176678
22	0.2727398174
23	0.2726544936
24	0.2725672621
25	0.2724692107
26	0.2723902915
27	0.2723266078
28	0.2722295405
29	0.2721481772
30	0.2720595696
31	0.271941142
32	0.2718660853
33	0.2717387435
34	0.2715968443
35	0.2715240239
36	0.2714551424
37	0.2713773067
38	0.2713142419
39	0.2713084797
40	0.2712278124
41	0.2711435912
42	0.2710983947
43	0.2710306835
44	0.2709253003
45	0.2708576747
46	0.2707649522
47	0.2707013699
48	0.2706333758
49	0.2705530671
50	0.270510581
51	0.2704528031
52	0.2704189236
53	0.2703601558
54	0.2703319574
55	0.2702731973
56	0.2702149813
57	0.2701279276
58	0.2700666293
59	0.2700149493
60	0.2699520813
61	0.2698997491
62	0.269853205
63	0.2698194513
64	0.2697652034
65	0.2697258441
66	0.2696753851
67	0.2696193762
68	0.2695639851
69	0.2695209572
70	0.2694714925
71	0.2694226522
72	0.269376863
73	0.2693768584
74	0.2693106715
75	0.2692437043
76	0.2692001017
77	0.2691467146
78	0.2691035584
79	0.2690786457
80	0.2690163316
81	0.2689415637
82	0.2688889048
83	0.2688346149
84	0.2687831993
85	0.2687304384
86	0.2687058483
87	0.2686886578
88	0.2686399508
89	0.268596323
90	0.2685392916
91	0.2685392913
92	0.2685338986
93	0.2684927963
94	0.2684461469
95	0.2684078251
96	0.2683532215
97	0.2683161133
98	0.268262024
99	0.2682245176
100	0.2681687048
101	0.2681042213
102	0.2680775374
103	0.268043588
104	0.2679837412
105	0.267958507
106	0.2678981828
107	0.2678394329
108	0.2677979798
109	0.2677648424
110	0.2677310397
111	0.2676743054
112	0.2676282051
113	0.2675788982
114	0.2675365352
115	0.267493323
116	0.2674551962
117	0.267409835
118	0.2673843662
119	0.2673387842
120	0.2672959224
121	0.2672539373
122	0.2672082125
123	0.2671629954
124	0.2671122177
125	0.2670573895
126	0.2670291095
127	0.2669797616
128	0.2669336079
129	0.2669183806
130	0.2668704392
131	0.2668169507
132	0.2667764649
133	0.2667090638
134	0.2666754563
135	0.2666214999
136	0.266558397
137	0.2665125146
138	0.2664660714
139	0.2664324456
140	0.2664002443
141	0.2663825631
142	0.2663392987
143	0.2662764448
144	0.2662288175
145	0.2661769661
146	0.2661245215
147	0.2660826408
148	0.2660343006
149	0.2659876372
150	0.2659523545
151	0.2659188565
152	0.2658653092
153	0.2658102634
154	0.2657682853
155	0.2657339611
156	0.2656930032
157	0.2656550927
158	0.265624584
159	0.2655947302
160	0.2655478271
161	0.265486049
162	0.2654313582
163	0.2653785306
164	0.265347187
165	0.2652985821
166	0.2652825975
167	0.2652467582
168	0.2652048297
169	0.2651765284
170	0.2651317629
171	0.2650931523
172	0.2650579013
173	0.2650184387
174	0.2649639927
175	0.2649244295
176	0.26487566
177	0.264818892
178	0.2647862441
179	0.26475437
180	0.2647112518
181	0.2646714159
182	0.2646259277
183	0.264576833
184	0.2645279566
185	0.2644696938
186	0.2644244655
187	0.2643770163
188	0.2643309262
189	0.2642811792
190	0.2642649982
191	0.2642290314
192	0.2642009619
193	0.2641657346
194	0.2641369807
195	0.264090152
196	0.2640417578
197	0.2640293059
198	0.2640070432
199	0.2639603771
